"ID_PRODUIT","ID_VILLE","ID_TEMPS","ID_SEXE","ID_AGE","QTE_VENDUE","BENEFICE"
1,1,30,1,32,2,20
1,1,25,1,32,1,10
1,1,115,2,32,13,130
1,1,116,2,32,3,30
1,1,117,2,32,7,70
1,1,118,2,32,10,100
1,1,119,2,32,6,60
1,1,120,2,32,13,130
1,1,109,2,32,4,40
1,1,112,2,32,7,70
1,1,114,2,32,5,50
1,1,130,1,32,4,40
1,1,103,2,32,10,100
1,1,105,2,32,1,10
1,2,127,2,32,7,70
1,2,114,2,32,3,30
1,2,120,2,32,2,20
1,2,112,2,32,1,10
1,2,130,1,32,4,40
1,2,121,1,32,2,20
1,2,125,1,32,2,20
1,2,83,2,32,1,10
1,2,114,1,32,7,70
1,2,115,1,32,5,50
1,2,116,1,32,5,50
1,2,109,1,32,8,80
1,2,93,1,32,1,10
1,2,52,2,32,2,20
1,2,47,2,32,2,20
1,2,71,1,32,3,30
1,2,72,1,32,6,60
1,2,27,1,32,6,60
1,2,30,1,32,1,10
1,2,32,1,32,1,10
1,3,130,2,32,1,10
1,3,131,2,32,6,60
1,3,121,2,32,3,30
1,3,113,2,32,4,40
1,3,114,2,32,7,70
1,3,115,2,32,15,150
1,3,116,2,32,7,70
1,3,118,2,32,7,70
1,3,119,2,32,24,240
1,3,120,2,32,3,30
1,3,106,2,32,5,50
1,3,108,2,32,3,30
1,3,109,2,32,1,10
1,3,110,2,32,6,60
1,3,112,2,32,6,60
1,3,98,2,32,1,10
1,3,99,2,32,3,30
1,3,131,1,32,5,50
1,3,101,2,32,8,80
1,3,102,2,32,7,70
1,3,103,2,32,7,70
1,3,104,2,32,2,20
1,3,120,1,32,5,50
1,3,127,1,32,3,30
1,3,112,1,32,3,30
1,3,113,1,32,14,140
1,3,114,1,32,11,110
1,3,116,1,32,5,50
1,3,117,1,32,18,180
1,3,118,1,32,5,50
1,3,119,1,32,9,90
1,3,104,1,32,1,10
1,3,105,1,32,28,280
1,3,108,1,32,1,10
1,3,78,2,32,7,70
1,3,109,1,32,20,200
1,3,111,1,32,2,20
1,3,96,1,32,6,60
1,3,97,1,32,3,30
1,3,98,1,32,1,10
